Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2006-03-31,7.3383
2006-06-30,4.7754
2006-09-30,-1.657
2006-12-31,0.0221
2007-03-31,-1.2995
2007-06-30,1.6054
2007-09-30,5.1155
2007-12-31,7.7398
2008-03-31,-1.1424
2008-06-30,-0.604
2008-09-30,0.172
2008-12-31,1.173
2009-03-31,-1.9116
2009-06-30,-0.804
2009-09-30,-0.3514
2009-12-31,-0.2613
2010-03-31,1.2577
2010-06-30,0.6011
2010-09-30,-0.6165
2010-12-31,-2.3121
2011-03-31,0.3357
2011-06-30,-1.1314
2011-09-30,-17.4279
2011-12-31,0.0705
2012-03-31,-0.4041
2012-06-30,-0.7055
2012-09-30,-1.5327
2012-12-31,-0.0805
2013-03-31,-0.6261
2013-06-30,-0.5883
2013-09-30,-5.807
2014-03-31,-1.334
2014-06-30,-22.934
2014-09-30,-1.9136
2014-12-31,-0.0634
2015-03-31,-1.0736
2015-06-30,-0.6542
2015-09-30,2.6736
2015-12-31,0.6387
2016-03-31,0.7246
2016-06-30,2.1204
2016-09-30,-3.4341
2016-12-31,-0.6371
